year,content
2200 BC – 2000 BC:,"2200 BC – 2000 BC: Iron smelting in Kaman-Kalehöyük.[191]
Links: Iron smelting(Iron smelting) | Kaman-Kalehöyük(Kaman-Kalehöyük) | ([191])"
2200 BC:,"2200 BC: Protractor, Phase IV, Lothal, Indus Valley (modern-day India), a Xancus shell cylinder with sawn grooves, at right angles, in its top and bottom surfaces, has been proposed as an angle marking tool.[192][193]
Links: Protractor(Protractor) | Lothal(Lothal) | Turbinella pyrum(Xancus) | ([192]) | ([193])"
2000 BC:,"2000 BC: Water clock by at least the old Babylonian period (c. 2000 – c. 1600 BC),[194] but possibly earlier from Mohenjo-Daro in the Indus Valley.[195]
Links: Water clock(Water clock) | ([194]) | ([195])"
2000 BC:,"2000 BC: Chariot in Russia and Kazakhstan[196]
Links: Chariot(Chariot) | Russia(Russia) | Kazakhstan(Kazakhstan) | ([196])"
2000 BC:,"2000 BC: Fountain in Lagash, Sumer.
Links: Fountain(Fountain) | Lagash(Lagash) | Sumer(Sumer)"
2000 BC:,"2000 BC: Scissors, in Mesopotamia.[197]
Links: Scissors(Scissors) | Mesopotamia(Mesopotamia) | ([197])"
1850 BC:,"1850 BC: Proto-alphabet (Proto-Sinaitic script) in Egypt.[198]
Links: Proto-Sinaitic script(Proto-Sinaitic script) | ([198])"
1600 BC:,"1600 BC: Surgical treatise appeared in Egypt.[199]
Links: Edwin Smith Papyrus(Surgical treatise) | ([199])"
1500 BC:,"1500 BC: Sundial in Ancient Egypt[200] or Babylonia (modern-day Iraq).
Links: Sundial(Sundial) | Ancient Egypt(Ancient Egypt) | ([200]) | Babylonia(Babylonia)"
1500 BC:,"1500 BC: Glass manufacture in either Mesopotamia or Ancient Egypt.[201]
Links: Glass(Glass) | Mesopotamia(Mesopotamia) | Ancient Egypt(Ancient Egypt) | ([201])"
1500 BC:,"1500 BC: Seed drill in Babylonia.[202]
Links: Seed drill(Seed drill) | Babylonia(Babylonia) | ([202])"
1500 BC:,"1500 BC: Prosthetic limb in India mentioned in vedas (warrior queen vishpala).
Links: Prosthetic(Prosthetic) | India(India)"
1400 BC:,"1400 BC: Rubber,[203] Mesoamerican ballgame.[203][204]
Links: Mesoamerican rubber balls(Rubber) | ([203]) | Mesoamerican ballgame(Mesoamerican ballgame) | ([203]) | ([204])"
1400 BC – 1200 BC:,"1400 BC – 1200 BC: Concrete in Tiryns (Mycenaean Greece),[205][206] though it was not yet waterproof.
Links: Concrete(Concrete) | Tiryns(Tiryns) | ([205]) | ([206])"
1300 BC:,"1300 BC: Lathe in Ancient Egypt.[207]
Links: Lathe(Lathe) | ([207])"
1200 BC:,"1200 BC: Distillation is described on Akkadian tablets documenting perfumery operations.[208]
Links: Distillation(Distillation) | Akkadian language(Akkadian) | ([208])"
1100 BC,"1100 BC Star catalogue — Three Stars Each is the earliest known catalogue in long-running tradition of Babylonian astronomy,[210] likely drawing on Sumerian[211] and/or Elamite constellations.[212]
Links: Star catalogue(Star catalogue) | Babylonian star catalogues(Three Stars Each) | Babylonian astronomy(Babylonian astronomy) | ([210]) | ([211]) | ([212])"
700 BC:,"700 BC: Saddle (fringed cloths or pads used by Assyrian cavalry).[213]
Links: Saddle(Saddle) | Assyrian cavalry(Assyrian cavalry) | ([213])"
7th century BC:,"7th century BC: The royal Library of Ashurbanipal at Nineveh had 30,000 clay tablets, in several languages, organized according to shape and separated by content. The first recorded example of a library catalog.[214]
Links: Library of Ashurbanipal(Library of Ashurbanipal) | Nineveh(Nineveh) | Library catalog(library catalog) | ([214])"
688 BC:,"688 BC: Waterproof concrete in use, by the Assyrians.[215] Later, the Romans developed concretes that could set underwater,[216] and used concrete extensively for construction from 300 BC to 476 AD.[217]
Links: ([215]) | ([216]) | ([217])"
650 BC:,"650 BC: Crossbow in China.[218]
Links: Crossbow(Crossbow) | China(China) | ([218])"
650 BC:,"650 BC: Windmills in Persia.
Links: Windmill(Windmills) | Persia(Persia)"
600 BC:,"600 BC: Coins in Phoenicia (Modern Lebanon) or Lydia.[219]
Links: Coins(Coins) | Phoenicia(Phoenicia) | Lydia(Lydia) | ([219])"
Late 7th or early 6th century BC:,"Late 7th or early 6th century BC: Wagonway called Diolkos across the Isthmus of Corinth in Ancient Greece.
Links: Wagonway(Wagonway) | Diolkos(Diolkos) | Isthmus of Corinth(Isthmus of Corinth) | Ancient Greece(Ancient Greece)"
6th century BC – 10th century AD:,"6th century BC – 10th century AD: High Carbon Steel, produced by the Closed Crucible method, later known as Wootz steel, of South India.[221][222][f]
Links: Steel(High Carbon Steel) | Crucible steel(Closed Crucible method) | Wootz steel(Wootz steel) | South India(South India) | ([221]) | ([222]) | ([f])"
6th century BC:,"6th century BC: University in Taxila, of the Indus Valley, then part of the kingdom of Gandhara, of the Achaemenid Empire (modern-day Pakistan).
Links: University(University) | Taxila(Taxila) | Gandhara(Gandhara) | Achaemenid Empire(Achaemenid Empire)"
6th century – 2nd century BC:,"6th century – 2nd century BC: Systematization of medicine and surgery in the Sushruta Samhita in Vedic Northern India.[224][225][226] Documented procedures to:
Perform cataract surgery (couching). Babylonian and Egyptian texts, a millennium before, depict and mention oculists, but not the procedure itself.[227]
Perform Caesarean section.[228]
Construct Prosthetic limbs.[228]
Perform Plastic surgery, though reconstructive nasal surgery is described in millennia older Egyptian papyri.[228][229]
Links: Sushruta Samhita(Sushruta Samhita) | ([224]) | ([225]) | ([226]) | Cataract surgery(cataract surgery) | Couching (ophthalmology)(couching) | ([227]) | Caesarean section(Caesarean section) | ([228]) | Prosthetic limb(Prosthetic limbs) | ([228]) | Plastic surgery(Plastic surgery) | Nasal surgery(nasal surgery) | Edwin Smith Papyrus(Egyptian papyri) | ([228]) | ([229])"
Late 6th century BC:,"Late 6th century BC: Crank motion (rotary quern) in Carthage[230] or 5th century BC Celtiberian Spain[231][232] Later during the Roman empire, a mechanism appeared that incorporated a connecting rod.
Links: Crank (mechanism)(Crank) | Rotary quern(rotary quern) | Ancient Carthage(Carthage) | ([230]) | Celtiberians(Celtiberian) | Spain(Spain) | ([231]) | ([232])"
Before 5th century BC:,"Before 5th century BC: Loan deeds in Upanishadic India.[233]
Links: Deed(Loan deeds) | ([233])"
500 BC:,"500 BC: Lighthouse in Greece.[234]
Links: Lighthouse(Lighthouse) | ([234])"
500 – 200 BC:,"500 – 200 BC: Toe stirrup, depicted in 2nd century Buddhist art, of the Sanchi and Bhaja Caves, of the Deccan Satavahana empire (modern-day India)[235][236] although may have originated as early as 500 BC.[237]
Links: Stirrup(Toe stirrup) | Satavahana dynasty(Satavahana empire) | ([235]) | ([236]) | ([237])"
485 BC:,"485 BC: Catapult by Ajatashatru in Magadha, India.[238][239]
Links: Catapult(Catapult) | Ajatashatru(Ajatashatru) | Magadha (Mahajanapada)(Magadha) | India(India) | ([238]) | ([239])"
