1925,,Television,JohnLogieBaird
1925,,Erwin Schrödinger: Schrödinger equation (Quantum mechanics),
1925,,Cecilia Payne-Gaposchkin: Discovery of the composition of the Sun and that hydrogen is the most abundant element in the Universe,
1926,,RocketEngine,RobertGoddard
1926,,Rocket Engine,Robert H. Goddard
1926,,Rocket Engine,Robert H. Goddard
1926,,Rocket Engine,Robert H. Goddard
1927,,Television,Philo Farnsworth
1927,,Television,Philo Farnsworth
1927,,The Big Bang theory,Georges Lemaître
1927,,Television,Philo Farnsworth
1927,,Television,Philo Farnsworth
1927,,The Big Bang theory,Georges Lemaître
1927,,Werner Heisenberg: Uncertainty principle (Quantum mechanics),
1927,,Georges Lemaître: Theory of the Big Bang,
1928,,Penicillin,Alexander Fleming
1928,,ElectricShaver,JacobSchick
1928,,Penicillin,Alexander Fleming
1928,,Penicillin,Alexander Fleming
1928,,Penicillin,Alexander Fleming
1928,,Vitamin C,Albert Szent-Gyorgi
1928,,Xerox Machine,Chester Carlson
1928,,Penicillin,Alexander Fleming
1928,,Paul Dirac: Dirac equation (Quantum mechanics),
1929,,Vitamin K,Henrik Dam
1929,,Edwin Hubble: Hubble's law of the expanding universe,
1929,,"Alexander Fleming: Penicillin, the first beta-lactam antibiotic",
1929,,"Lars Onsager's reciprocal relations, a potential fourth law of thermodynamics",
1930,,AdhesiveTape,RichardDrew
1930,,Airplane,Orville&WilburWright
1930,,JetEngine,FrankWhittle
1930,,Subrahmanyan Chandrasekhar discovers his eponymous limit of the maximum mass of a white dwarf star,
1931,,Kurt Gödel: incompleteness theorems prove formal axiomatic systems are incomplete,
1932,,The Neutron,James Chadwick
1932,,The Neutron,James Chadwick
1932,,James Chadwick: Discovery of the neutron,
1932,,"Karl Guthe Jansky discovers the first astronomical radio source, Sagittarius A",
1932,,Ernest Walton and John Cockcroft: Nuclear fission by proton bombardment,
1933,,Dark Matter,Fritz Zwicky
1933,,Dark Matter,Fritz Zwicky
1934,,Enrico Fermi: Nuclear fission by neutron irradiation,
1934,,Clive McCay: Calorie restriction extends the maximum lifespan of another species,
1935,,Radar,Robert Watson
1935,,Nylon,WallaceCarothers
1935,,Richter Scale,Charles Richter
1935,,Richter Scale,Charles Richter
1935,,Richter Scale,Charles Richter
1935,,Radar,Robert Watson
1936,,Jet Engine,Hans Von Ohain
1936,,Jet Engine,Hans Von Ohain
1936,,Jet Engine,Hans Von Ohain
1937,,First Gravitational Lens,J. H. Oort and F. Zwicky
1937,,Xerography,ChesterFloydCarlson
1937,,First Gravitational Lens,J. H. Oort and F. Zwicky
1938,,BallpointPen,LaszloBiro
1938,,Ball Point Pen,John Loud
1938,,Ball Point Pen,John Loud
1938,,"Otto Hahn, Lise Meitner and Fritz Strassmann: Nuclear fission of heavy nuclei",
1938,,Isidor Rabi: Nuclear magnetic resonance,
1939,,Helicopter,IgorSikorsky
1939,,Helicopter,Igor Sikorsky
1939,,Helicopter,Igor Sikorsky
1939,,Helicopter,Igor Sikorsky
1942,,Nuclear power,Enrico Fermi and team
1942,,Nuclear power,Enrico Fermi and team
1943,,Oswald Avery proves that DNA is the genetic material of the chromosome,
1945,,Atomic bomb,J. Robert Oppenheimer and team
1945,,Microwave oven,Percy Spencer
1945,,Atom Bomb,Julius Robert Oppenheimer
1945,,Atom Bomb,Julius Robert Oppenheimer
1945,,Atom Bomb,Julius Robert Oppenheimer
1945,,Atomic bomb,J. Robert Oppenheimer and team
1945,,Microwave oven,Percy Spencer
1945,,Howard Florey Mass production of penicillin,
1946,,Bikini,JacquesHeim/LouisReard
1947,,Transistor,"William Shockley, John Bardeen and Walter Brattain"
1947,,Transistor,"William Shockley, John Bardeen and Walter Brattain"
1947,,"William Shockley, John Bardeen and Walter Brattain invent the first transistor",
1948,,Transistors,"John Bardeen, William Shockley & Walter
Brattain"
1948,,Claude Elwood Shannon: 'A mathematical theory of communication' a seminal paper in Information theory.,
1948,,"Richard Feynman, Julian Schwinger, Sin-Itiro Tomonaga and Freeman Dyson: Quantum electrodynamics",
