Year,Country,Name of Invention,Name of Inventor,Category,General_Category
1856,United Kingdom,mauveine,William Henry Perkin,Chemistry,Chemistry & Materials
1856,Australia,ice making machine and refrigerator,James Harrison,Refrigeration Technology,Engineering & Technology
1856,United Kingdom,Bessemer steelmaking process,Henry Bessemer,Metallurgical Process,Chemistry & Materials
1857,United States,Sleeping Car,George Pullman,Railway Carriage,Engineering & Technology
1857,Germany,Geissler tube,Heinrich Geissler,Physics,Physical Sciences
1857,France,phonautograph,ÉdouardLéon Scott de Martinville,Acoustics,Physical Sciences
1858,United Kingdom,Theory of Evolution,Charles Darwin,Scientific Theory,Physical Sciences
1858,United States,Washing Machine rotary,Hamilton Smith,Home Appliance,Engineering & Technology
1858,United States,Can Opener,Ezra Warner,Kitchen Utensil,Engineering & Technology
1858,Belgium,internalcombustion engine,tienne Lenoir,Engine,Engineering & Technology
1859,France,electric storage battery,Gaston Plant,Energy Storage Device,Engineering & Technology
1859,United Kingdom,Evolution by natural selection,Charles Darwin,Scientific Theory,Physical Sciences
1859,United Kingdom,On the Origin of Species,Charles Darwin,Biology,Life Sciences & Medicine
1859,United States,Safety Razor,King Gillette,Personal Grooming,Engineering & Technology
1859,France,lead acid battery,Gaston Planté,Electrochemistry,Chemistry & Materials
1860,United Kingdom,The Electromagnetic Spectrum,James Clerk Maxwell,Physics,Physical Sciences
1860,France,Germ Theory of Disease,Louis Pasteur,Medicine,Life Sciences & Medicine
1860,United States,Spencer breechloading carbine,Christopher M Spencer,Firearm Technology,Engineering & Technology
1860,Norway,ski bindings,Sondre Nordheim,Sports Equipment,Engineering & Technology
1860,United Kingdom,carbon fibers,Joseph Swan,Materials Science,Chemistry & Materials
1861,United States,Machine Gun,Richard Gatling,Firearm Technology,Engineering & Technology
1861,United States,Parrott gun rifled cannon,Robert Parker Parrott,Firearm Technology,Engineering & Technology
1861,Germany; United Kingdom,openhearth furnace,William Siemens,Metallurgical Furnace,Other
1861,United Kingdom,Linoleum,Frederick Walton,Flooring Material,Chemistry & Materials
1861,United Kingdom,Celluloid,Alexander Parkes,Plastic Material,Chemistry & Materials
1862,United Kingdom,astronomical photography,Warren De la Rue,Scientific Imaging,Physical Sciences
1862,United States,Gatling gun,Richard Jordan Gatling,Firearm Technology,Engineering & Technology
1862,United States,Cylinder Lock,Linus Yale Jr,Security Device,Engineering & Technology
1863,France,pasteurization,Louis Pasteur,Food Safety Process,Agricultural Sciences & Technology
1863,United States,Yale cylinder lock,Linus Yale,Security Device,Engineering & Technology
1864,France,pasteurization process,Louis Pasteur,Biotechnology,Life Sciences & Medicine
1864,Germany,gasolinepowered automobile,Siegfried Marcus,Vehicle,Engineering & Technology
1865,United States,Pullman sleeping car,George M Pullman,Railway Carriage,Engineering & Technology
1865,France; Germany,SiemensMartin process,Carl Wilhelm Siemens; PierreÉmile Martin,Metallurgical Engineering,Chemistry & Materials
1865,United Kingdom,silkcombing machine,Samuel Cunliffe Lister,Textile Machinery,Engineering & Technology
1866,United Kingdom,modern clinical thermometer,Thomas Clifford Allbutt,Medical Instrument,Life Sciences & Medicine
1866,Czech,Laws of Inheritance,Gregor Mendel,Genetics,Life Sciences & Medicine
1866,France,drycell battery,Georges Leclanch,Energy Storage Device,Engineering & Technology
1867,Sweden,Dynamite; dynamite,Alfred B Nobel; Alfred Nobel,Chemical Engineering; Explosive Technology,Chemistry & Materials
1867,United States,pneumatic tube,Alfred Ely Beach,Transport System,Engineering & Technology
1867,United States,barbed wire,Joseph Farwell Glidden; Lucien B Smith,Agricultural Fencing; Agricultural Technology,Agricultural Sciences & Technology
1868,France,Helium,Jules Janssen,Chemical Discovery,Chemistry & Materials
1868,United States,typewriter,Christopher Latham Sholes,Office Equipment,Engineering & Technology
1869,United Kingdom; United States,Vacuum Cleaner; vacuum cleaner,David T Kenney; H Cecil Booth; Hubert Cecil Booth; Ives McGuffey,Home Appliance; Home Appliances,Engineering & Technology
1869,Russia,Mendeleev’s Periodic Table of Elements,Dmitri Mendeleev,Chemistry,Chemistry & Materials
1869,United States,air brake,George Westinghouse,Transportation Safety Device,Engineering & Technology
1869,Russia,Periodic Table,Dmitri Mendeleev,Scientific Model,Physical Sciences
1869,France,trichrome process of colour photography,Louis Ducos du Hauron,Photographic Process,Arts & Media
1871,United States,flatbottomed paper bag,Margaret Knight,Packaging,Engineering & Technology
1871,United Kingdom,bicycle with centrepivot steering,James Starley,Vehicle Innovation,Engineering & Technology
1872,Germany,polyvinyl chloride PVC,Eugen Baumann,Chemistry,Chemistry & Materials
1872,United Kingdom,stainless steel,JET Woods; J Clark; Harry Brearley,Metallurgical Engineering,Chemistry & Materials
1873,Germany; United States,Jeans,Levi Strauss,Clothing,Engineering & Technology
1873,United Kingdom,rotary kiln,Frederick Ransome,Industrial Engineering,Engineering & Technology
1873,Belgium,Gramme machine,Zénobe Gramme,Electrical Engineering,Engineering & Technology
1873,United Kingdom,Black holes,John Michell,Astronomical Theory,Physical Sciences
1873,United Kingdom,Crookes radiometer,William Crookes,Physics,Physical Sciences
1874,France,metal detector,Gustave Trouvé,Electronic Engineering,Engineering & Technology
1874,Canada; United Kingdom; United States,Telephone; The Telephone; telephone,Alexander Graham Bell; Graham Bell,Communication Device; Communication Technology; Communications,Information & Computing
1875,Russia,electric tram,Fyodor Pirotsky,Transportation Engineering,Engineering & Technology
1876,Canada; United Kingdom; United States,Microphone,Alexander Graham Bell,Audio Device,Arts & Media
1876,United States,carpet sweeper,Melville Reuben Bissell,Cleaning Device,Engineering & Technology
1876,Russia,Yablochkov candle arc lamp,Pavel Nikolayevich Yablochkov,Lighting Device,Engineering & Technology
1876,Germany,fourstroke cycle,Nicolaus August Otto,Mechanical Engineering,Engineering & Technology
1876,Germany,fourstroke internalcombustion engine,Nikolaus August Otto,Engine,Engineering & Technology
1877,United States,universal grinding machine,Joseph Rogers Brown,Machine Tool,Engineering & Technology
1877,United States,phonograph cylinder sound recorder,Thomas Edison,Audio Recording Device,Arts & Media
1877,United States,Phonograph; phonograph,Thomas Edison,Audio Playback Device; Audio Technology,Arts & Media
1878,United States,Pelton wheel,Lester Allan Pelton,Mechanical Engineering,Engineering & Technology
1878,United States,Electric Light Bulb,Thomas Edison,Lighting Device,Engineering & Technology
1878,United States,Gramophone,Thomas Edison,Audio Playback Device,Arts & Media
1878,United Kingdom,rebreather,Henry Fleuss,Diving Technology,Engineering & Technology
1879,United Kingdom; United States,incandescent light bulb; incandescent lightbulb,Joseph Swan; Thomas Alva Edison; Thomas Edison,Electrical Engineering; Lighting Device,Engineering & Technology
1880,Serbia; United States,alternatingcurrent electric motor,Nikola Tesla,Electric Motor,Engineering & Technology
1880,United Kingdom,life raft,Maria Beasley,Marine Safety Equipment,Engineering & Technology
1881,Bulgaria,carbon arc welding,Nikolay Benardos,Welding Technology,Engineering & Technology
1882,United States,Iron electric,Henry W Seeley,Household Appliance,Engineering & Technology
1882,United States,Electric Fan,Schuyler Wheeler,Home Appliance,Engineering & Technology
1884,France,rayon,Hilaire Bernigaud de Chardonnet,Textile Fiber,Chemistry & Materials
