year,content
2200 BC:,"2200 BC: Protractor, Phase IV, Lothal, Indus Valley (modern-day India), a Xancus shell cylinder with sawn grooves, at right angles, in its top and bottom surfaces, has been proposed as an angle marking tool.[190][191]
Links: Protractor(Protractor) | Lothal(Lothal) | Turbinella pyrum(Xancus) | ([190]) | ([191])"
2000 BC:,"2000 BC: Water clock by at least the old Babylonian period (c. 2000 – c. 1600 BC),[192] but possibly earlier from Mohenjo-Daro in the Indus Valley.[193]
Links: Water clock(Water clock) | ([192]) | ([193])"
2000 BC:,"2000 BC: Chariot in Russia and Kazakhstan[194]
Links: Chariot(Chariot) | Russia(Russia) | Kazakhstan(Kazakhstan) | ([194])"
2000 BC:,"2000 BC: Fountain in Lagash, Sumer.
Links: Fountain(Fountain) | Lagash(Lagash) | Sumer(Sumer)"
2000 BC:,"2000 BC: Scissors, in Mesopotamia.[195]
Links: Scissors(Scissors) | Mesopotamia(Mesopotamia) | ([195])"
1850 BC:,"1850 BC: Proto-alphabet (Proto-Sinaitic script) in Egypt.[196]
Links: Proto-Sinaitic script(Proto-Sinaitic script) | ([196])"
1600 BC:,"1600 BC: Surgical treatise appeared in Egypt.[197]
Links: Edwin Smith Papyrus(Surgical treatise) | ([197])"
1500 BC:,"1500 BC: Sundial in Ancient Egypt[198] or Babylonia (modern-day Iraq).
Links: Sundial(Sundial) | Ancient Egypt(Ancient Egypt) | ([198]) | Babylonia(Babylonia)"
1500 BC:,"1500 BC: Glass manufacture in either Mesopotamia or Ancient Egypt.[199]
Links: Glass(Glass) | Mesopotamia(Mesopotamia) | Ancient Egypt(Ancient Egypt) | ([199])"
1500 BC:,"1500 BC: Seed drill in Babylonia.[200]
Links: Seed drill(Seed drill) | Babylonia(Babylonia) | ([200])"
1500 BC:,"1500 BC: Prosthetic limb in India mentioned in vedas (warrior queen vishpala).
Links: Prosthetic(Prosthetic) | India(India)"
1400 BC:,"1400 BC: Rubber,[201] Mesoamerican ballgame.[201][202]
Links: Mesoamerican rubber balls(Rubber) | ([201]) | Mesoamerican ballgame(Mesoamerican ballgame) | ([201]) | ([202])"
1400 BC – 1200 BC:,"1400 BC – 1200 BC: Concrete in Tiryns (Mycenaean Greece),[203][204] though it was not yet waterproof.
Links: Concrete(Concrete) | Tiryns(Tiryns) | ([203]) | ([204])"
1300 BC:,"1300 BC: Lathe in Ancient Egypt.[205]
Links: Lathe(Lathe) | ([205])"
1200 BC:,"1200 BC: Distillation is described on Akkadian tablets documenting perfumery operations.[206]
Links: Distillation(Distillation) | Akkadian language(Akkadian) | ([206])"
1100 BC,"1100 BC Star catalogue — Three Stars Each is the earliest known catalogue in long-running tradition of Babylonian astronomy,[208] likely drawing on Sumerian[209] and/or Elamite constellations.[210]
Links: Star catalogue(Star catalogue) | Babylonian star catalogues(Three Stars Each) | Babylonian astronomy(Babylonian astronomy) | ([208]) | ([209]) | ([210])"
700 BC:,"700 BC: Saddle (fringed cloths or pads used by Assyrian cavalry).[211]
Links: Saddle(Saddle) | Assyrian cavalry(Assyrian cavalry) | ([211])"
7th century BC:,"7th century BC: The royal Library of Ashurbanipal at Nineveh had 30,000 clay tablets, in several languages, organized according to shape and separated by content. The first recorded example of a library catalog.[212]
Links: Library of Ashurbanipal(Library of Ashurbanipal) | Nineveh(Nineveh) | Library catalog(library catalog) | ([212])"
688 BC:,"688 BC: Waterproof concrete in use, by the Assyrians.[213] Later, the Romans developed concretes that could set underwater,[214] and used concrete extensively for construction from 300 BC to 476 AD.[215]
Links: ([213]) | ([214]) | ([215])"
650 BC:,"650 BC: Crossbow in China.[216]
Links: Crossbow(Crossbow) | China(China) | ([216])"
650 BC:,"650 BC: Windmills in Persia.
Links: Windmill(Windmills) | Persia(Persia)"
600 BC:,"600 BC: Coins in Phoenicia (Modern Lebanon) or Lydia.[217]
Links: Coins(Coins) | Phoenicia(Phoenicia) | Lydia(Lydia) | ([217])"
Late 7th or early 6th century BC:,"Late 7th or early 6th century BC: Wagonway called Diolkos across the Isthmus of Corinth in Ancient Greece.
Links: Wagonway(Wagonway) | Diolkos(Diolkos) | Isthmus of Corinth(Isthmus of Corinth) | Ancient Greece(Ancient Greece)"
6th century BC – 10th century AD:,"6th century BC – 10th century AD: High Carbon Steel, produced by the Closed Crucible method, later known as Wootz steel, of South India.[219][220][f]
Links: Steel(High Carbon Steel) | Crucible steel(Closed Crucible method) | Wootz steel(Wootz steel) | South India(South India) | ([219]) | ([220]) | ([f])"
6th century BC:,"6th century BC: University in Taxila, of the Indus Valley, then part of the kingdom of Gandhara, of the Achaemenid Empire (modern-day Pakistan).
Links: University(University) | Taxila(Taxila) | Gandhara(Gandhara) | Achaemenid Empire(Achaemenid Empire)"
